sequence	pair_index	run_id	task_id	harness	condition	trial	scientific_gate	harness_gate	execution_status	reset_status
1	1	ls03-genome-coordinates-c0-001	ls03-genome-coordinates	codex	C0	1	pending	pending	not_started	required
2	1	ls03-genome-coordinates-t1-001	ls03-genome-coordinates	codex	T1	1	pending	pending	not_started	required
3	2	ls05-structure-model-ranking-t1-001	ls05-structure-model-ranking	codex	T1	1	pending	pending	not_started	required
4	2	ls05-structure-model-ranking-c0-001	ls05-structure-model-ranking	codex	C0	1	pending	pending	not_started	required
5	3	ls06-eno1-significance-audit-c0-001	ls06-eno1-significance-audit	codex	C0	1	pending	pending	not_started	required
6	3	ls06-eno1-significance-audit-t1-001	ls06-eno1-significance-audit	codex	T1	1	pending	pending	not_started	required
7	4	ls01-vector-orf-audit-t1-001	ls01-vector-orf-audit	codex	T1	1	pending	pending	not_started	required
8	4	ls01-vector-orf-audit-c0-001	ls01-vector-orf-audit	codex	C0	1	pending	pending	not_started	required
9	5	ls04-perturbseq-reference-map-c0-001	ls04-perturbseq-reference-map	codex	C0	1	pending	pending	not_started	required
10	5	ls04-perturbseq-reference-map-t1-001	ls04-perturbseq-reference-map	codex	T1	1	pending	pending	not_started	required
11	6	ls10-neun-power-analysis-t1-001	ls10-neun-power-analysis	codex	T1	1	pending	pending	not_started	required
12	6	ls10-neun-power-analysis-c0-001	ls10-neun-power-analysis	codex	C0	1	pending	pending	not_started	required
13	7	ls01-primer-transcript-audit-c0-001	ls01-primer-transcript-audit	codex	C0	1	pending	pending	not_started	required
14	7	ls01-primer-transcript-audit-t1-001	ls01-primer-transcript-audit	codex	T1	1	pending	pending	not_started	required
15	8	ls08-enhancer-promoter-integration-t1-001	ls08-enhancer-promoter-integration	codex	T1	1	pending	pending	not_started	required
16	8	ls08-enhancer-promoter-integration-c0-001	ls08-enhancer-promoter-integration	codex	C0	1	pending	pending	not_started	required
17	9	ls08-multiome-column-match-c0-001	ls08-multiome-column-match	codex	C0	1	pending	pending	not_started	required
18	9	ls08-multiome-column-match-t1-001	ls08-multiome-column-match	codex	T1	1	pending	pending	not_started	required
19	10	ls02-deleterious-mutation-t1-001	ls02-deleterious-mutation	codex	T1	1	pending	pending	not_started	required
20	10	ls02-deleterious-mutation-c0-001	ls02-deleterious-mutation	codex	C0	1	pending	pending	not_started	required
21	11	ls03-cryptic-exon-c0-001	ls03-cryptic-exon	codex	C0	1	pending	pending	not_started	required
22	11	ls03-cryptic-exon-t1-001	ls03-cryptic-exon	codex	T1	1	pending	pending	not_started	required
23	12	ls09-opentrons-sop-t1-001	ls09-opentrons-sop	codex	T1	1	pending	pending	not_started	required
24	12	ls09-opentrons-sop-c0-001	ls09-opentrons-sop	codex	C0	1	pending	pending	not_started	required
25	13	ls07-combination-treatment-deg-c0-001	ls07-combination-treatment-deg	codex	C0	1	pending	pending	not_started	required
26	13	ls07-combination-treatment-deg-t1-001	ls07-combination-treatment-deg	codex	T1	1	pending	pending	not_started	required
27	14	ls02-infer-genome-build-t1-001	ls02-infer-genome-build	codex	T1	1	pending	pending	not_started	required
28	14	ls02-infer-genome-build-c0-001	ls02-infer-genome-build	codex	C0	1	pending	pending	not_started	required
29	15	ls03-atac-sample-swap-c0-001	ls03-atac-sample-swap	codex	C0	1	pending	pending	not_started	required
30	15	ls03-atac-sample-swap-t1-001	ls03-atac-sample-swap	codex	T1	1	pending	pending	not_started	required
31	16	ls10-treatment-response-model-t1-001	ls10-treatment-response-model	codex	T1	1	pending	pending	not_started	required
32	16	ls10-treatment-response-model-c0-001	ls10-treatment-response-model	codex	C0	1	pending	pending	not_started	required
33	17	ls02-find-deletion-c0-001	ls02-find-deletion	codex	C0	1	pending	pending	not_started	required
34	17	ls02-find-deletion-t1-001	ls02-find-deletion	codex	T1	1	pending	pending	not_started	required
35	18	ls05-protein-shape-t1-001	ls05-protein-shape	codex	T1	1	pending	pending	not_started	required
36	18	ls05-protein-shape-c0-001	ls05-protein-shape	codex	C0	1	pending	pending	not_started	required
37	19	ls09-plate-dilution-recovery-c0-001	ls09-plate-dilution-recovery	codex	C0	1	pending	pending	not_started	required
38	19	ls09-plate-dilution-recovery-t1-001	ls09-plate-dilution-recovery	codex	T1	1	pending	pending	not_started	required
39	20	ls01-grna-offtarget-rank-t1-001	ls01-grna-offtarget-rank	codex	T1	1	pending	pending	not_started	required
40	20	ls01-grna-offtarget-rank-c0-001	ls01-grna-offtarget-rank	codex	C0	1	pending	pending	not_started	required
41	21	ls04-differential-composition-c0-001	ls04-differential-composition	codex	C0	1	pending	pending	not_started	required
