task_id	harness	condition	scientific_gate	harness_gate	execution_status	reset_required	blocking_reason
ls06-eno1-effect-size	codex	C0	pass	not_checked	not_started	true	Current macOS Codex independent-session/workspace/inventory/reset preflight not yet recorded
ls06-eno1-effect-size	duanyan	T0	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T0 UI/API inventory/reset smoke record
ls06-eno1-effect-size	duanyan	T1	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T1 catalog discovery/install/call/reset smoke record
ls06-eno1-effect-size	duanyan	T2	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T2 MCP enable/call/reset smoke record
ls06-eno1-significance-audit	codex	C0	pass	not_checked	not_started	true	Current macOS Codex independent-session/workspace/inventory/reset preflight not yet recorded
ls06-eno1-significance-audit	duanyan	T0	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T0 UI/API inventory/reset smoke record
ls06-eno1-significance-audit	duanyan	T1	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T1 catalog discovery/install/call/reset smoke record
ls06-eno1-significance-audit	duanyan	T2	pass	not_checked	not_started	true	No 2026-08-16 Duanyan T2 MCP enable/call/reset smoke record
ls07-combination-treatment-deg	codex	C0	fail	not_checked	blocked	true	Pinned PyDESeq2 0.5.0 reference table and 677/679 adjudication not 3-of-3 accepted
ls07-combination-treatment-deg	duanyan	T0	fail	not_checked	blocked	true	Pinned PyDESeq2 0.5.0 reference table and 677/679 adjudication not 3-of-3 accepted
ls07-combination-treatment-deg	duanyan	T1	fail	not_checked	blocked	true	Pinned PyDESeq2 0.5.0 reference table and 677/679 adjudication not 3-of-3 accepted
ls07-combination-treatment-deg	duanyan	T2	fail	not_checked	blocked	true	Pinned PyDESeq2 0.5.0 reference table and 677/679 adjudication not 3-of-3 accepted
ls07-combination-treatment-mechanism	codex	C0	fail	not_checked	blocked	true	Reactome_2022 resource/universe packaged; complete enrichment reference and checker not 3-of-3 accepted
ls07-combination-treatment-mechanism	duanyan	T0	fail	not_checked	blocked	true	Reactome_2022 resource/universe packaged; complete enrichment reference and checker not 3-of-3 accepted
ls07-combination-treatment-mechanism	duanyan	T1	fail	not_checked	blocked	true	Reactome_2022 resource/universe packaged; complete enrichment reference and checker not 3-of-3 accepted
ls07-combination-treatment-mechanism	duanyan	T2	fail	not_checked	blocked	true	Reactome_2022 resource/universe packaged; complete enrichment reference and checker not 3-of-3 accepted
ls08-multiome-column-match	codex	C0	fail	not_checked	blocked	true	Hidden permutation and normalization policy not 3-of-3 accepted
ls08-multiome-column-match	duanyan	T0	fail	not_checked	blocked	true	Hidden permutation and normalization policy not 3-of-3 accepted
ls08-multiome-column-match	duanyan	T1	fail	not_checked	blocked	true	Hidden permutation and normalization policy not 3-of-3 accepted
ls08-multiome-column-match	duanyan	T2	fail	not_checked	blocked	true	Hidden permutation and normalization policy not 3-of-3 accepted
ls08-enhancer-promoter-integration	codex	C0	fail	not_checked	blocked	true	EP1–EP8 source inconsistency and aggregation/normalization/tie rules not 3-of-3 accepted
ls08-enhancer-promoter-integration	duanyan	T0	fail	not_checked	blocked	true	EP1–EP8 source inconsistency and aggregation/normalization/tie rules not 3-of-3 accepted
ls08-enhancer-promoter-integration	duanyan	T1	fail	not_checked	blocked	true	EP1–EP8 source inconsistency and aggregation/normalization/tie rules not 3-of-3 accepted
ls08-enhancer-promoter-integration	duanyan	T2	fail	not_checked	blocked	true	EP1–EP8 source inconsistency and aggregation/normalization/tie rules not 3-of-3 accepted
ls09-opentrons-sop	codex	C0	fail	not_checked	blocked	true	Opentrons 7.1.0 contract pinned; identical harness provisioning and real-simulator 3-of-3 acceptance pending
