task_id	coverage_10	core_science_40	direction_or_decision_15	summary_5	script_10
ls01-grna-offtarget-rank	All input guide IDs appear exactly once; required columns parse.	Guide ranks reproduce frozen activity/off-target risk rule, including coding near matches and mismatch weighting.	Recommended/reject decisions agree with rank and frozen safety thresholds.	Report states top choice and essential trade-off consistently with table.	analysis.py exists, parses statically, uses relative inputs/output paths and recreates declared machine-readable artifacts.
ls01-primer-transcript-audit	All primer pairs and transcript identifiers are covered without duplicates.	Primer binding, orientation, amplicon lengths and transcript/CDS compatibility match frozen sequence calculations.	Pass/fail/malformed decisions agree with computed binding and metadata validation.	Report identifies selected pair or explicit no-valid-pair outcome consistently.	Standard static rerunnable-script checks.
ls01-vector-orf-audit	Every construct is present once with required audit fields.	Start/stop, frame, tag/linker and cloning checks match frozen rules.	Overall status and issue labels agree with component checks.	Report names usable constructs and blocking defects consistently.	Standard static rerunnable-script checks.
ls02-deleterious-mutation	Required variant/evidence artifacts parse and cover the nominated call.	Chromosome, position, alleles, HGNC gene, nonsense consequence, read counts and allele fraction match frozen gold/tolerances.	High-confidence mosaic/deleterious call agrees with evidence and constraint rule.	Report gives the same gene/variant/AF and calibrated caveat.	Standard static rerunnable-script checks.
ls02-find-deletion	Required interval/QC artifacts parse and contain one nominated event.	Chromosome, rounded breakpoints and size match frozen gold within declared tolerances; support fields are present.	Deletion/no-deletion decision agrees with coverage/pair evidence.	Report repeats interval and precision limit consistently.	Standard static rerunnable-script checks.
ls02-infer-genome-build	Build artifact parses and diagnostic counts are complete.	Reference-allele checks and final build match frozen diagnostic loci/gold.	Confidence/call direction agrees with match-versus-mismatch evidence.	Report states build and strongest evidence consistently.	Standard static rerunnable-script checks.
ls03-cryptic-exon	Gene, exon and both junction artifacts are complete and parseable.	HGNC gene, exon coordinates and two novel junctions/read supports match frozen gold/tolerances.	Cryptic-exon decision agrees with novelty and bilateral junction support.	Report repeats gene/exon and evidence consistently.	Standard static rerunnable-script checks.
ls03-atac-sample-swap	All expected samples/organs and similarity entries are covered.	Normalized similarity structure and swapped pair match frozen reference analysis.	Swap/no-swap decision and organ order are internally consistent.	Report states pair or no-swap with matching confidence.	Standard static rerunnable-script checks.
ls03-genome-coordinates	All cells/timepoints required by the card contribute to metrics; lag table parses.	Contact fractions, transcription summaries and lag associations match frozen calculations/tolerances.	Association direction is correct and no unsupported causal direction is asserted.	Report states the supported temporal conclusion and limitation consistently.	Standard static rerunnable-script checks.
ls04-differential-composition	Both samples and all frozen cell-type labels are represented; fractions parse.	Cell counts/fractions and depleted population match frozen annotation/composition gold.	Depletion direction is sample-2 relative to sample-1 and agrees with fractions.	Report states depleted population and magnitude consistently.	Standard static rerunnable-script checks.
ls04-perturbseq-reference-map	Exactly PABPC1, NUDT21 and LEO1 occur once with unique query guide calls.	Three guide identities and mapping scores/ranking match frozen leak-free reference analysis.	Confidence/ambiguity decisions agree with best and runner-up scores.	Report repeats all three mappings consistently.	Standard static rerunnable-script checks.
ls04-spatial-deconvolution	Target spot exists; every reported type is valid; weights cover the full call.	Cell-type identity/mixture weights match frozen spatial reference within tolerance.	Single-type versus mixture decision agrees with weights and uncertainty rule.	Report repeats composition and uncertainty consistently.	Standard static rerunnable-script checks.
ls05-protein-shape	Call JSON and PNG exist and parse; allowed letter vocabulary enforced.	Letter identity matches frozen visual/geometric gold.	Orientation/confidence decision is valid and consistent with call.	Orientation note concisely supports the same letter.	No script points for L1 unless optional script meets standard; remaining points require valid reproducible view metadata.
ls05-structure-model-ranking	10: every model occurs once, ranks are unique, and all required artifacts parse.	40: exact rank tuple/order (20) plus nine frozen global/interface/critical-risk fields prorated (20).	15: three preferred/alternate/reject decisions prorated against frozen gold.	5: report names model_A and identifies model_B's incomplete mapping consistently.	10: analysis.py parses and contains no absolute user path; submission code is never imported by oracle.
ls05-low-confidence-pocket	10: every mutation occurs once, ranks are unique, and all required artifacts parse.	40: exact order (10), eight pocket-support/penalty fields prorated (20), and false/false calibrated pocket assessment with reason (10).	15: four defer/out-of-scope decisions prorated against frozen gold.	5: report states low confidence and deferral without prohibited experimental overclaim.	10: analysis.py parses and contains no absolute user path; submission code is never imported by oracle.
ls06-eno1-effect-size	ENO1 record and required source/value fields are present once.	Tumor/normal values, fold change and log2 fold change match frozen workbook cells/tolerances.	Up/down direction agrees with values and sign of log2 fold change.	Report repeats effect size and direction consistently.	Standard static rerunnable-script checks.
ls06-eno1-significance-audit	ENO1 adjusted-p record and source fields are present once.	Adjusted p-value matches frozen workbook value/tolerance and is not substituted with raw p.	Significance boolean agrees with FDR 0.05.	Report repeats adjusted p and significance consistently.	Standard static rerunnable-script checks.
ls07-combination-treatment-deg	All analyzed unique genes are covered and required DE columns parse.	Frozen contrast DE values/pass count agree with the pinned reference run within tolerances.	Pass direction obeys padj<0.05, absLFC>0.5, baseMean>10 exactly.	Summary count equals passing rows and report.	Standard static rerunnable-script checks.
ls07-combination-treatment-mechanism	All tested pathways and required enrichment fields parse; declared universe present.	Overlap/statistics/ranking and primary Reactome mechanism match pinned reference release/run.	Activation/suppression/association direction agrees with DE and enrichment evidence; causality is not overstated.	Mechanism JSON and report agree with top supported pathway.	Standard static rerunnable-script checks.
ls08-multiome-column-match	All eight RNA populations and eight ATAC columns occur exactly once.	Score matrix and complete permutation match frozen reference mapping.	Every mapping direction is RNA-to-ATAC and enforces a bijection.	Report repeats the permutation or mapping table without conflict.	Standard static rerunnable-script checks.
ls08-enhancer-promoter-integration	Every candidate pair occurs once with both evidence modalities.	Contact, perturbation and combined-support calculations/ranking match frozen rule.	Least-supported decision agrees with minimum combined support and tie policy.	Report states the same pair and evidence separation.	Standard static rerunnable-script checks.
ls09-opentrons-sop	Every SOP transfer step is represented; required protocol/plan/simulation artifacts exist.	Deck/labware/wells, volumes, liquid balance, pipette ranges and tip policy pass pinned simulator/reference checks.	Execute/abort decisions agree with physical constraints and missing-detail policy.	Report states simulation outcome and any blockers consistently.	protocol.py parses statically and pinned Opentrons simulation succeeds in isolated rerun.
ls09-plate-dilution-recovery	Every failed/requested well and recovery step is covered.	Root cause, dilution math, mass balance, source overdraw and pipette feasibility match frozen reference.	Recover/abort decisions agree with feasibility and solvent limits.	Report repeats root cause and feasible outcome consistently.	Standard static rerunnable-script checks.
ls10-neun-power-analysis	Both groups and all required result fields are represented.	Means, SDs, pooled SD, Cohen d and required n/group match frozen calculations/tolerances.	Effect direction/sign and ceiling-rounded sample-size decision are correct.	Report repeats d and n/group with alpha/power consistently.	Standard static rerunnable-script checks.
ls10-treatment-response-model	All required model terms and metadata fields are present once.	Age coefficient, standard error, p-value and odds ratio match frozen complete-case logistic fit/tolerances.	Coefficient/odds-ratio direction and significance interpretation agree.	Report repeats age estimate/p-value and coding consistently.	Standard static rerunnable-script checks.
