task_id	ls_task	priority	upstream	upstream_id	input_status
ls01-grna-offtarget-rank	LS01	P0	custom	new-fixture	ready_custom
ls01-primer-transcript-audit	LS01	P0	custom	new-fixture	ready_custom
ls01-vector-orf-audit	LS01	P0	custom	new-fixture	ready_custom
ls02-deleterious-mutation	LS02	P0	CompBioBench	deleterious-mutation-q2	fetchable
ls02-find-deletion	LS02	P0	CompBioBench	find-deletion-q1	fetchable
ls02-infer-genome-build	LS02	P0	CompBioBench	vcf-infer-build-q1	fetchable
ls03-cryptic-exon	LS03	P0	CompBioBench	cryptic-exon-q1	fetchable
ls03-atac-sample-swap	LS03	P0	CompBioBench	sample-swap-atac-q1	fetchable
ls03-genome-coordinates	LS03	P0	CompBioBench	genome-coords-q1	fetchable
ls04-differential-composition	LS04	P0	CompBioBench	differential-composition-q1	fetchable
ls04-perturbseq-reference-map	LS04	P0	CompBioBench	perturb-seq-align-q1	fetchable
ls04-spatial-deconvolution	LS04	P0	CompBioBench	spatial-sim-q1	fetchable
ls05-protein-shape	LS05	P0	CompBioBench	protein-shape-q1	fetchable
ls05-structure-model-ranking	LS05	P0	custom	new-fixture	ready_custom
ls05-low-confidence-pocket	LS05	P0	custom	new-fixture	ready_custom
ls06-eno1-effect-size	LS06	P0	BixBench	bix-37-q1/q4	fetchable
ls06-eno1-significance-audit	LS06	P0	BixBench	bix-37-q3	fetchable
ls07-combination-treatment-deg	LS07	P1	BixBench	bix-43-q3	fetchable
ls07-combination-treatment-mechanism	LS07	P1	BixBench	bix-43-q5	fetchable
ls08-multiome-column-match	LS08	P1	CompBioBench	multiome-match-atac-rna-q1	fetchable
ls08-enhancer-promoter-integration	LS08	P1	CompBioBench	ep-interactions-q1	fetchable
ls09-opentrons-sop	LS09	P1	custom	new-fixture	ready_custom
ls09-plate-dilution-recovery	LS09	P1	custom	new-fixture	ready_custom
ls10-neun-power-analysis	LS10	P1	BixBench	bix-19-q1/q2	fetchable
ls10-treatment-response-model	LS10	P1	BixBench	bix-51-q3/q4	fetchable
