capability_exact_name	catalog_status	allowed_condition	task_scope
Analyze DNA and RNA sequences including molecular weight calculation, reverse complement generation, and oligonucleotide properties.	verified	T1	LS01 local sequence checks
Retrieve genomic sequences from Ensembl for genes, transcripts, and genomic regions.	verified	T1	LS01-LS03 reference retrieval when internet arm is enabled
Synthetic Biology Design	verified	T1	LS01 construct design/audit
SNP Functional Impact Analysis	verified	T1	LS02 variant interpretation
Variant Pathogenicity Assessment	verified	T1	LS02 variant interpretation
Query ClinGen Allele Registry for standardized allele identifiers and genomic coordinates.	verified	T2	LS02 variant normalization
Query FAVOR API for comprehensive variant annotations including pathogenicity scores and population frequencies.	verified	T2	LS02 variant annotation
Query gnomAD for population allele frequencies and gene constraint metrics.	verified	T2	LS02 population/constraint evidence
Query NCBI ClinVar for variant clinical significance and disease associations.	verified	T2	LS02 clinical annotation
Retrieve gene information from NCBI Gene including summaries, genomic context, and references.	verified	T2	LS02-LS08 gene metadata
Transcriptome Analysis Pipeline	verified	T1	LS03-LS04 transcriptome analysis
UCSC Genome Browser Exploration	verified	T1	LS02-LS03 coordinate/reference inspection
Regulatory Region Analysis	verified	T1	LS03 and LS08 regulatory genomics
Protein Structure Comprehensive Analysis	verified	T1	LS05 structure analysis
Protein Similarity Search	verified	T1	LS05 homology analysis
Structural Homology & Evolution Analysis	verified	T1	LS05 model context
Protein-Drug Interaction Profiling	verified	T1	LS05 pocket/interaction reasoning
Biomarker Discovery Pipeline	verified	T1	LS06-LS08 omics interpretation
Protein Interaction Network Analysis	verified	T1	LS07 mechanism interpretation
Search KEGG database for pathways, genes, compounds, diseases, drugs, and molecular interactions.	verified	T2	LS07 pathway corroboration

# Policy: exact-name allowlist only. The agent may autonomously install and call any number of relevant entries; the operator must not preselect a single package or provide scientific routing hints. A capability not present in the 222-item catalog, or not smoke-tested in the target client, is forbidden in formal runs.
# Catalog presence and runtime availability are separate gates. "verified" here reproduces the catalog's validation status; preflight must still confirm the exact package is enabled.
